时间,值_x,值_y
2024-05-27 10:44:29,432.12738,12.88147
2024-05-27 10:44:24,429.04068,12.89978
2024-05-27 10:44:19,430.13205,12.8845215
2024-05-27 10:44:14,432.3713,12.8845215
2024-05-27 10:44:09,427.2329,12.8540039
2024-05-27 10:44:04,427.104645,12.902832
2024-05-27 10:43:59,425.0877,12.8967285
2024-05-27 10:43:54,422.343567,12.9119873
2024-05-27 10:43:49,426.322052,12.9180908
2024-05-27 10:43:44,423.666168,12.9302979
2024-05-27 10:43:39,422.5026,12.9180908
2024-05-27 10:43:34,421.1725,12.9150391
2024-05-27 10:43:29,421.181671,12.9180908
2024-05-27 10:43:24,422.325134,12.93335
2024-05-27 10:43:19,421.721924,12.93335
2024-05-27 10:43:14,419.503357,12.9547119
2024-05-27 10:43:09,420.4579,12.9547119
2024-05-27 10:43:04,422.1758,12.95166
2024-05-27 10:42:59,423.041626,12.9364014
2024-05-27 10:42:54,423.1171,12.9547119
2024-05-27 10:42:49,424.652985,12.9577637
2024-05-27 10:42:44,426.057922,12.979126
2024-05-27 10:42:39,423.492828,12.9821777
2024-05-27 10:42:34,422.969055,12.9608154
2024-05-27 10:42:29,424.7492,12.979126
2024-05-27 10:42:24,425.8493,12.9821777
2024-05-27 10:42:19,426.225067,12.9974365
2024-05-27 10:42:14,426.384735,13.0004883
2024-05-27 10:42:09,421.771149,12.9943848
2024-05-27 10:42:04,421.367218,13.0187988
2024-05-27 10:41:59,426.7749,13.0249023
